ticker,credit_rating,source,date,notes
CMX,BB,Fiinrating,10/10/2023,Công ty Cổ phần CAMIMEX Group
APG,BB-,Fiinrating,25/08/2025,Công ty Cổ phần Chứng khoán APG
PSI,BB+,Fiinrating,12/11/2025,Công ty Cổ phần Chứng khoán Dầu khí
DSC,BBB,Fiinrating,26/01/2026,Công ty Cổ phần Chứng khoán DSC
TCX,AA-,Fiinrating,31/12/2025,Công ty Cổ phần Chứng khoán Kỹ Thương
MBS,A-,Fiinrating,25/04/2022,Công ty Cổ phần Chứng khoán MB
VDS,BB+,Fiinrating,01/08/2023,Công ty Cổ phần Chứng khoán Rồng Việt
ORS,BBB-,Fiinrating,21/03/2025,Công ty Cổ phần Chứng khoán Tiên Phong
VCI,A,Fiinrating,29/10/2025,Công ty Cổ phần Chứng khoán Vietcap
VCK,A,Fiinrating,15/01/2025,Công ty Cổ phần Chứng Khoán VPS
KDH,BBB+,Fiinrating,04/12/2022,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền
AGG,BBB-,Fiinrating,30/11/2022,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia
GEG,A-,Fiinrating,31/01/2024,Công ty Cổ phần Điện Gia Lai
F88,BBB,Fiinrating,10/10/2025,Công ty Cổ phần Kinh doanh F88
VPI,BB+,Fiinrating,03/03/2025,Công ty Cổ phần Phát triển Bất động sản Văn Phú
BCG,BB,Fiinrating,28/06/2022,Công ty Cổ phần Tập đoàn Bamboo Capital
HDG,A,Fiinrating,28/02/2025,Công ty Cổ phần Tập đoàn Hà Đô
NLG,A-,Fiinrating,25/04/2025,Công Ty Cổ Phần Tập Đoàn Nam Long
VHM,A,Fiinrating,05/12/2025,Công ty Cổ phần Vinhomes
CTD,BBB+,Fiinrating,14/12/2025,Công ty Cổ phần Xây dựng Coteccons
VCP,A-,Fiinrating,15/12/2025,Công ty Cổ phần Xây dựng và Năng lượng VCP
TIN,BBB-,Fiinrating,26/01/2022,Công ty Tài chính tổng hợp cổ phần Tín Việt
ACB,AA+,Fiinrating,09/09/2025,Ngân hàng Thương mại Cổ phần Á Châu
BAB,A-,Fiinrating,01/10/2025,Ngân hàng Thương mại Cổ phần Bắc Á
MSB,A,Fiinrating,18/12/2025,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam
NAB,A-,Fiinrating,16/09/2025,Ngân hàng Thương mại Cổ phần Nam Á
VCB,AAA,Fiinrating,11/12/2025,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam
HDB,A,Fiinrating,29/09/2025,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh
VIB,A,Fiinrating,11/10/2025,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam
VIC,A-,Fiinrating,25/09/2025,Tập đoàn Vingroup - Công ty CP
BSI,A+,Visrating,17/12/2025,Công ty Cổ phần Chứng khoán BIDV
MBS,A+,Visrating,14/11/2025,Công ty Cổ phần Chứng khoán MB
SHS,A,Visrating,02/10/2025,Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội
TVS,A-,Visrating,16/12/2025,Công ty Cổ phần Chứng khoán Thiên Việt
ORS,BBB,Visrating,05/09/2025,Công ty Cổ phần Chứng khoán Tiên Phong
VND,A-,Visrating,14/11/2025,Công ty Cổ phần Chứng khoán VNDIRECT
HUT,BBB+,Visrating,09/12/2025,Công ty Cổ phần Tasco
GEX,A,Visrating,06/01/2026,Công ty Cổ phần Tập đoàn Gelex
SGR,BBB+,Visrating,05/12/2025,Công ty Cổ phần Tổng Công ty Cổ phần Địa ốc Sài Gòn
ABB,A-,Visrating,22/10/2025,Ngân hàng TMCP An Bình
LPB,A+,Visrating,08/11/2025,Ngân hàng TMCP Lộc Phát Việt Nam
OCB,A+,Visrating,14/11/2025,Ngân hàng TMCP Phương Đông
TPB,AA-,Visrating,21/11/2025,Ngân hàng TMCP Tiên Phong
VAB,A-,Visrating,22/10/2025,Ngân hàng TMCP Việt Á
BCM,A,Visrating,30/01/2026,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP